simulation_id,year,patients_alive,patients_treated,revenue,price
33,2045,345,26,59797824.2821498,2299916.318544223
33,2046,342,38,87396820.10468048,2299916.318544223
33,2047,325,37,85096903.78613625,2299916.318544223
33,2048,310,34,78197154.83050358,2299916.318544223
33,2049,301,37,85096903.78613625,2299916.318544223
33,2050,281,31,71297405.87487091,2299916.318544223
33,2051,270,31,71297405.87487091,2299916.318544223
33,2052,250,30,68997489.55632669,2299916.318544223
33,2053,243,31,71297405.87487091,2299916.318544223
33,2054,244,41,94296569.06031314,2299916.318544223
33,2055,219,30,68997489.55632669,2299916.318544223
33,2056,212,37,85096903.78613625,2299916.318544223
33,2057,198,33,75897238.51195936,2299916.318544223
33,2058,185,33,75897238.51195936,2299916.318544223
33,2059,174,31,71297405.87487091,2299916.318544223
33,2060,154,23,52898075.32651713,2299916.318544223
34,2031,1048,66,151794477.02391872,2299916.318544223
34,2032,991,82,188593138.12062627,2299916.318544223
34,2033,915,110,252990795.03986454,2299916.318544223
34,2034,830,133,305888870.36638165,2299916.318544223
34,2035,703,145,333487866.18891233,2299916.318544223
34,2036,587,83,190893054.4391705,2299916.318544223
34,2037,515,43,98896401.69740158,2299916.318544223
34,2038,481,33,75897238.51195936,2299916.318544223
34,2039,459,28,64397656.91923824,2299916.318544223
34,2040,444,31,71297405.87487091,2299916.318544223
34,2041,430,37,85096903.78613625,2299916.318544223
34,2042,410,37,85096903.78613625,2299916.318544223
