simulation_id,preclinical_success,preclinical_cost,preclinical_duration,phase12_success,phase12_cost,phase12_duration,phase3_success,phase3_cost,phase3_duration,approval_success,approval_cost,approval_duration
223,True,1159706.76977292,1.5799310118305938,True,3985649.1771628037,1.7725502441559198,True,12383136.098206412,2.029884943268006,True,3783185.0336263906,0.5731935182742232
224,True,1965313.0712805009,1.6202893924622703,True,3288798.9067049944,2.0336122192704473,True,15910100.705549745,2.55568221280466,False,4799674.670248074,0.6217668207184126
225,True,862592.5632932925,1.0129048923580664,True,5043679.607117538,2.0598090850310484,True,10893791.547107697,2.6132549649848396,True,3334636.478535855,0.8018027044615992
226,True,1712394.020034176,1.9525144420444165,True,4462285.446159745,1.7852285606257763,True,14947445.098156229,2.5124599887951553,True,3732269.3126068064,0.6711847271574267
227,True,969334.7792482655,1.4693438224249027,True,5056857.714883094,1.7725372379949031,False,17597617.64665345,2.659486126898658,,,
228,True,1024255.0780232502,1.0856264929701789,True,4488962.582026299,2.116701770698939,True,13066155.901075065,2.8216182206750355,True,3505461.3119057035,0.9010192366554259
229,True,1127647.4809633712,1.4180804801866222,True,4302618.919134263,1.705685203400567,True,10843124.836112892,2.2122699244491697,True,2407434.420249304,0.8507396505925564
230,True,890826.3172856737,1.0712659148188717,True,5763234.734330859,2.440790270149157,True,11672401.269774057,2.2723674049514138,False,3166371.038002674,0.9775225766976765
231,True,1715530.60329762,1.575272959416382,True,3392071.4833456813,2.3061909554186126,True,17117684.18551859,2.2978560931738437,True,3980195.9178678826,0.573268714192653
232,True,1427392.69775819,1.829373842788288,True,5148292.551110415,1.5941091312646096,True,19800682.193818115,2.14676929910058,True,3211327.5456027593,0.7818006771078077
233,True,1306675.9940590297,1.8580487053692492,True,5023528.477591038,2.1734202197617956,True,12109237.649575047,2.0805802878587993,True,4067302.1579821315,0.8273957586220669
234,False,1780684.267520396,1.2999014902054578,,,,,,,,,
235,True,1651283.6547685745,1.3952482798082282,True,4275061.478190369,2.232259781503952,True,12861195.976991542,2.5397142615087667,True,3852970.521781332,0.5898306844046055
236,False,1863504.8507488815,1.7109490816855557,,,,,,,,,
237,True,1561201.8400664427,1.3528875979294435,True,5757464.326817883,1.598725740900853,True,11543313.979444392,2.111756898521344,True,4287641.917689862,0.7770137977675298
238,True,1742776.052349854,1.4432315077731768,True,5532499.280029336,1.6545461477914971,True,11964739.358968113,2.536419830232402,True,4175353.2025276828,0.5095567675267827
239,True,1653647.1107414062,1.6723081807566862,True,4918773.491074076,1.5434782760428125,True,13656588.499552041,2.0648603860505634,True,3694436.769639447,0.6790083312173916
240,True,1963848.7195019138,1.9796046293191552,True,5207813.526129632,1.6361158271783918,True,16864768.96588341,2.0597871268090975,True,2687223.3097952753,0.8865040956542296
241,True,1114664.396330567,1.6285488198857694,True,3635908.1345573757,1.7762184651515591,True,18098272.10006799,2.5670002332688258,True,3735474.3011632324,0.7285212330056645
242,False,1364495.9259222485,1.3932309684800157,,,,,,,,,
243,False,812403.9013708011,1.6150478657771021,,,,,,,,,
